,ts,PID,MINFLT,MAJFLT,VSTEXT,VSIZE,RSIZE,VGROW,RGROW,MEM,y
0,1554225785,2707,1,0,121,521.1,11312.0,0.0,32.0,0.0,0
1,1556153268,1967,0,0,36,159.8,4392.0,0.0,0.0,0.0,1
2,1554235420,3752,0,0,959,114.7,99.0,0.0,0.0,0.03,0
3,1556145828,1861,8,0,36,159.8,3628.0,0.0,0.0,0.0,1
4,1556214078,3632,0,0,0,0.0,0.0,0.0,0.0,0.0,1
5,1554238255,2584,0,0,154,537.9,8772.0,0.0,0.0,0.0,0
6,1556214898,1406,18,0,47,497.1,5056.0,0.0,0.0,0.0,1
7,1556215638,1406,0,0,47,497.1,5056.0,0.0,0.0,0.0,1
8,1554237995,2584,0,0,154,537.9,8772.0,0.0,0.0,0.0,0
9,1556142988,52937,0,0,0,0.0,0.0,0.0,0.0,0.0,1
10,1554233415,2420,0,0,415,40212.0,2184.0,0.0,56.0,0.0,0
11,1554236425,3676,2051,0,148,18020.0,2580.0,0.0,4.0,0.0,0
12,1554222845,3790,5,0,2132,2.4,34620.0,0.0,0.0,0.01,0
13,1554229650,2774,0,0,10,1.3,71792.0,0.0,0.0,0.02,0
14,1556213588,2886,0,0,350,315.3,7400.0,0.0,0.0,0.0,1
15,1556207583,1967,0,0,36,159.8,4396.0,0.0,0.0,0.0,1
16,1554241130,1851,0,0,36,159.8,2004.0,0.0,0.0,0.0,0
17,1556174483,2835,0,0,124,623.7,18084.0,0.0,0.0,0.0,1
18,1554223685,1668,0,0,12,9480.0,3500.0,0.0,0.0,0.0,0
19,1554233445,2563,0,0,26,337.6,2100.0,0.0,848.0,0.0,0
20,1556144453,3279,1996,0,148,18600.0,3512.0,0.0,0.0,0.0,1
21,1556181698,2576,0,0,121,22308.0,640.0,0.0,0.0,0.0,1
22,1556152633,3292,1908,0,148,17620.0,2348.0,0.0,0.0,0.0,1
23,1556180178,3405,0,0,0,0.0,0.0,0.0,0.0,0.0,1
24,1554243245,4374,2067,0,148,17636.0,2368.0,0.0,0.0,0.0,0
25,1554241535,3677,2065,0,148,17948.0,2612.0,0.0,0.0,0.0,0
26,1554233970,2533,297,33,589,634.2,16788.0,0.0,704.0,0.0,0
27,1554224740,3893,49,0,124,36620.0,3044.0,264.0,156.0,0.0,0
28,1556217928,2882,0,0,36,381.1,16928.0,0.0,0.0,0.0,1
29,1556182683,3295,1914,0,148,17920.0,2412.0,0.0,0.0,0.0,1
30,1556209008,2849,8,0,1350,1.4,48316.0,0.0,0.0,0.01,1
31,1554219435,1375,388,0,15,9416.0,1136.0,9416.0,1136.0,0.0,0
32,1556206698,1725,0,0,0,0.0,0.0,0.0,0.0,0.0,1
33,1554238205,2788,0,0,4,857.6,40660.0,0.0,0.0,0.01,0
34,1554225390,2698,3,0,357,808.8,4060.0,0.0,0.0,0.0,0
35,1556218673,2821,40,0,10,1.3,99.4,0.0,0.0,0.03,1
36,1556181708,1457,0,0,2219,334.3,71104.0,0.0,0.0,0.02,1
37,1556184003,2882,0,0,36,381.1,16928.0,0.0,0.0,0.0,1
38,1556154348,2576,0,0,121,22308.0,640.0,0.0,0.0,0.0,1
39,1556185938,2608,13,0,589,639.8,31636.0,128.0,136.0,0.01,1
40,1556210938,2093,0,0,596,184.2,14072.0,0.0,0.0,0.0,1
41,1554231120,2523,0,0,31,931.9,17308.0,0.0,212.0,0.0,0
42,1556212748,3294,1909,0,148,17916.0,2420.0,0.0,0.0,0.0,1
43,1556152428,2593,0,0,31,729.2,20036.0,0.0,0.0,0.01,1
44,1556215848,2882,0,0,36,381.1,16928.0,0.0,0.0,0.0,1
45,1554227385,3676,2106,0,148,17648.0,2436.0,0.0,0.0,0.0,0
46,1556213058,3103,0,0,2132,2.5,28092.0,0.0,0.0,0.01,1
47,1556211663,2633,2,0,66,553.8,18384.0,0.0,0.0,0.0,1
48,1554237610,4375,2061,0,148,17368.0,2348.0,40.0,272.0,0.0,0
49,1556218393,2821,0,0,10,1.3,99.4,0.0,0.0,0.03,1
50,1556176343,2703,3,0,121,520.8,13208.0,0.0,0.0,0.0,1
51,1556177558,3058,0,0,280,710.1,22344.0,0.0,0.0,0.01,1
52,1554224925,1668,0,0,12,9480.0,3500.0,0.0,0.0,0.0,0
53,1556177848,3128,0,0,978,2.9,22924.0,0.0,0.0,0.01,1
