ts,PID,MINFLT,MAJFLT,VSTEXT,VSIZE,RSIZE,VGROW,RGROW,MEM,CMD,label,type
1554218915,3257,859502,54,193,2,519.1,2,519.1,0.14,Web-Content,0,normal
1554218920,3197,247354,95,193,2.6,402,2.6,402,0.11,firefox,0,normal
1554218925,1442,57311,33,2219,764.2,290.7,764.2,290.7,0.08,Xorg,0,normal
1554218930,3119,68006,17,3063,725.9,116.8,725.9,116.8,0.03,update-manager,0,normal
1554218935,2797,72300,69,1350,1.4,109.6,1.4,109.6,0.03,nautilus,0,normal
1554218940,2774,48095,61,10,1.3,88680,1.3,88680,0.02,compiz,0,normal
1554218945,3346,14531,1,193,1.5,55404,1.5,55404,0.01,Web-Content,0,normal
1554218950,1483,8898,6,10415,537.4,54344,537.4,54344,0.01,mysqld,0,normal
1554218955,2788,12014,10,4,857.6,46736,857.6,46736,0.01,evolution-cale,0,normal
1554218960,3651,9905,0,545,802.9,35164,802.9,35164,0.01,gedit,0,normal
1554218965,1482,8003,10,531,391.8,31700,391.8,31700,0.01,named,0,normal
1554218970,2533,6624,83,589,632.5,26364,632.5,26364,0.01,hud-service,0,normal
1554218975,2547,5238,7,66,706.1,21044,706.1,21044,0.01,unity-panel-se,0,normal
1554218980,2523,6863,2,31,931.9,20796,931.9,20796,0.01,unity-settings,0,normal
1554218985,3155,6309,36,280,707.8,19576,707.8,19576,0.01,gnome-terminal,0,normal
1554218990,3086,5714,4,49,627.8,18320,627.8,18320,0,update-notifie,0,normal
1554218995,2784,4767,38,124,695.6,17924,695.6,17924,0,goa-daemon,0,normal
1554219000,2801,9115,13,127,454.3,17000,454.3,17000,0,tracer-store,0,normal
1554219005,2809,4570,28,36,381,16920,381,16920,0,vmtoolsd,0,normal
1554219010,2795,4758,0,297,456.9,15864,456.9,15864,0,nm-applet,0,normal
1554219015,2460,3904,7,281,607.4,15512,607.4,15512,0,bamfdaemon,0,normal
1554219020,2584,4812,0,154,537.9,15100,537.9,15100,0,ibus-ui-gt3,0,normal
1554219025,1935,3186,10,596,184.2,14072,184.2,14072,0,apache2,0,normal
1554219030,2689,2899,13,659,944.5,13976,944.5,13976,0,indicator-date,0,normal
1554219035,2742,2983,14,82,478,12692,478,12692,0,evolution-sour,0,normal
1554219040,2770,2810,0,193,332.4,12180,332.4,12180,0,notify-osd,0,normal
1554219045,2794,2765,0,33,465.9,11844,465.9,11844,0,unity-fallbac,0,normal
1554219050,2966,3373,1,27,444.4,11808,444.4,11808,0,telepathy-indi,0,normal
1554219055,2697,3324,0,47,508.4,11752,508.4,11752,0,indicator-prin,0,normal
1554219060,2537,7050,0,223,642.3,11556,642.3,11556,0,gnome-session,0,normal
1554219065,2798,3154,11,114,465.5,11428,465.5,11428,0,tracer-miner-,0,normal
1554219070,2982,2102,1,119,472.7,11380,472.7,11380,0,zeitgeist-data,0,normal
1554219075,2707,3131,5,121,521.1,11344,521.1,11344,0,indicator-eyb,0,normal
1554219080,2793,2761,0,38,324.1,9688,324.1,9688,0,polit-gnome-a,0,normal
1554219085,2993,2649,34,127,246.5,9676,246.5,9676,0,zeitgeist-fts,0,normal
1554219090,2588,2189,1,73,377.8,7436,377.8,7436,0,ibus-x11,0,normal
1554219095,2842,1997,0,350,315.2,7220,315.2,7220,0,mission-contro,0,normal
1554219100,1124,1773,4,1071,342,7136,342,7136,0,NetworManager,0,normal
1554219105,2680,942,0,88,327.2,7020,327.2,7020,0,indicator-mess,0,normal
1554219110,2736,1597,0,77,364.9,5916,364.9,5916,0,pulseaudio,0,normal
1554219115,2076,2116,7,217,294.6,5676,294.6,5676,0,colord,0,normal
1554219120,2691,1803,0,203,540.2,5624,540.2,5624,0,indicator-soun,0,normal
1554219125,2466,1092,0,13,329.7,5504,329.7,5504,0,at-spi-bus-lau,0,normal
1554219130,2005,174,0,596,184.3,5428,184.3,5428,0,apache2,0,normal
1554219135,2006,174,0,596,184.3,5428,184.3,5428,0,apache2,0,normal
1554219140,2007,174,0,596,184.3,5428,184.3,5428,0,apache2,0,normal
1554219145,2008,174,0,596,184.3,5428,184.3,5428,0,apache2,0,normal
1554219150,2009,174,0,596,184.3,5428,184.3,5428,0,apache2,0,normal
1554219155,2874,988,3,72,207.5,5416,207.5,5416,0,gvfs-gphoto2-v,0,normal
1554219160,2830,1607,3,141,436,5228,436,5228,0,gvfs-udiss2-v,0,normal
1554219165,1133,4040,2,7,274.6,5176,274.6,5176,0,politd,0,normal
1554219170,1339,1832,2,47,425.2,5172,425.2,5172,0,whoopsie,0,normal
1554219175,2845,2210,1,319,362.7,5148,362.7,5148,0,udissd,0,normal
1554219180,2708,1595,1,35,352.1,5044,352.1,5044,0,indicator-appl,0,normal
1554219185,2987,1575,0,189,344,4984,344,4984,0,zeitgeist-daem,0,normal
1554219190,2318,1781,0,211,254.8,4980,254.8,4980,0,gdm-session-wo,0,normal
1554219195,2437,1294,25,239,78328,4632,78328,4632,0,window-stac-b,0,normal
1554219200,1931,2137,4,149,233.8,4552,233.8,4552,0,upowerd,0,normal
1554219205,2501,1530,0,148,353.5,4548,353.5,4548,0,ibus-daemon,0,normal
1554219210,1103,1486,18,889,326.6,4464,326.6,4464,0,ModemManager,0,normal
1554219215,1851,1479,6,36,159.8,4392,159.8,4392,0,vmtoolsd,0,normal
1554219220,3311,1308,1,18,441.1,4284,441.1,4284,0,deja-dup-monit,0,normal
1554219225,3179,2107,0,956,27308,4272,27308,4272,0,bash,0,normal
1554219230,3164,1549,1,956,27292,4256,27292,4256,0,bash,0,normal
1554219235,1381,1875,7,277,363.7,4192,363.7,4192,0,gdm-simple-sla,0,normal
1554219240,1452,1937,4,148,280.7,4096,280.7,4096,0,accounts-daemo,0,normal
1554219245,2698,1448,0,357,808.8,4060,808.8,4060,0,indicator-sess,0,normal
1554219250,2908,1215,0,39,423.1,3928,423.1,3928,0,gvfsd-trash,0,normal
1554219255,2325,992,0,869,290.1,3880,290.1,3880,0,gnome-eyring-,0,normal
1554219260,2864,1032,0,39,58160,3664,58160,3664,0,gconfd-2,0,normal
1554219265,1668,590,0,12,9480,3500,9480,3500,0,haveged,0,normal
1554219270,2583,1084,1,11,274.3,3488,274.3,3488,0,ibus-dconf,0,normal
1554219275,1063,1116,0,44,75364,3432,75364,3432,0,cups-browsed,0,normal
1554219280,2949,1278,0,66,121.7,3420,121.7,3420,0,gvfsd-metadata,0,normal
1554219285,2883,986,0,69,279.3,3396,279.3,3396,0,gvfs-afc-volum,0,normal
1554219290,1325,1403,0,241,210.1,3384,210.1,3384,0,gdm,0,normal
1554219295,2489,971,0,78,122,3320,122,3320,0,at-spi2-regist,0,normal
1554219300,2753,1092,0,6,200.3,3312,200.3,3312,0,ibus-engine-si,0,normal
1554219305,2517,1137,0,23,192,3200,192,3200,0,gvfsd,0,normal
1554219310,2685,1053,0,74,344,3180,344,3180,0,indicator-powe,0,normal
1554219315,2563,1071,3,26,337.6,3136,337.6,3136,0,gvfsd-fuse,0,normal
1554219320,2870,901,0,71,195.6,3064,195.6,3064,0,gvfs-mtp-volum,0,normal
1554219325,1319,989,1,728,61380,3032,61380,3032,0,sshd,0,normal
1554219330,2932,947,0,24,264,2988,264,2988,0,gvfsd-burn,0,normal
1554219335,2683,963,1,168,257.5,2904,257.5,2904,0,indicator-blue,0,normal
1554219340,2751,912,0,69,174.1,2816,174.1,2816,0,dconf-service,0,normal
1554219345,2327,11552,0,245,40296,2664,40296,2664,0,init,0,normal
1554219350,3678,2801,0,148,17528,2332,17528,2332,0,atop,0,normal
1554219355,3675,2859,0,148,17228,2316,17228,2316,0,atop,0,normal
1554219360,3677,2858,0,148,17228,2316,17228,2316,0,atop,0,normal
1554219365,2420,2797,0,415,40212,2304,40212,2304,0,dbus-daemon,0,normal
1554219370,1623,2719,2,148,17288,2236,17288,2236,0,atop,0,normal
1554219375,3178,804,2,140,71240,2228,71240,2228,0,sudo,0,normal
1554219380,1378,661,0,95,18604,2104,18604,2104,0,config,0,normal
1554219385,2483,761,0,415,39392,2044,39392,2044,0,dbus-daemon,0,normal
1554219390,3676,2633,0,148,16964,1804,16964,1804,0,atop,0,normal
1554219395,1137,396,0,129,16376,1676,16376,1676,0,upstart-file-b,0,normal
1554219400,1819,583,0,32,25344,1612,25344,1612,0,master,0,normal
1554219405,1825,507,1,56,27456,1548,27456,1548,0,qmgr,0,normal
1554219410,1824,497,0,9,27408,1524,27408,1524,0,picup,0,normal
1554219415,1304,1693,7,67,17776,1512,17776,1512,0,dovecot,0,normal
1554219420,1087,518,0,152,23552,1332,23552,1332,0,vsftpd,0,normal
1554219425,2126,898,0,53,165,1304,165,1304,0,rtit-daemon,0,normal
1554219430,2431,445,0,115,22300,1168,22300,1168,0,upstart-event-,0,normal
1554219435,1375,388,0,15,9416,1136,9416,1136,0,log,0,normal
1554219440,3099,751,1,60,17520,1100,17520,1100,0,systemd-hostna,0,normal
1554219445,1558,166,0,82,39656,1036,39656,1036,0,admind,0,normal
1554219450,1328,286,0,37,23652,1004,23652,1004,0,cron,0,normal
1554219455,1683,237,0,17,37148,1004,37148,1004,0,erneloops,0,normal
1554219460,1594,154,0,118,39688,1000,39688,1000,0,rb5dc,0,normal
1554219465,2502,207,0,129,30908,980,30908,980,0,upstart-file-b,0,normal
1554219470,1249,408,0,25,20012,964,20012,964,0,getty,0,normal
1554219475,1256,400,0,25,20012,964,20012,964,0,getty,0,normal
1554219480,1257,399,0,25,20012,964,20012,964,0,getty,0,normal
1554219485,1374,348,0,16,9288,964,9288,964,0,anvil,0,normal
1554219490,1245,404,0,25,20012,960,20012,960,0,getty,0,normal
1554219495,1262,395,0,25,20012,956,20012,956,0,getty,0,normal
1554219500,2199,417,0,25,20012,948,20012,948,0,getty,0,normal
1554219505,1327,267,0,29,12780,940,12780,940,0,anacron,0,normal
1554219510,1148,229,0,121,15656,920,15656,920,0,upstart-socet,0,normal
1554219515,1371,1205,0,36,19296,820,19296,820,0,irqbalance,0,normal
1554219520,3163,320,0,10,14824,804,14824,804,0,gnome-pty-help,0,normal
1554219525,2498,163,0,121,22412,752,22412,752,0,upstart-dbus-b,0,normal
1554219530,3452,411,0,110,4444,728,4444,728,0,apt,0,normal
1554219535,1408,173,0,41,4368,684,4368,684,0,acpid,0,normal
1554219540,3440,210,0,110,4444,644,4444,644,0,sh,0,normal
1554219545,2497,142,0,121,22308,628,22308,628,0,upstart-dbus-b,0,normal
1554219550,3004,263,0,43,11412,612,11412,612,0,cat,0,normal
1554219555,3441,235,0,12,4336,600,4336,600,0,run-parts,0,normal
1554219560,1695,108,0,6,6484,432,6484,432,0,netatopd,0,normal
1554219565,3494,183,0,23,4344,352,4344,352,0,sleep,0,normal
1554219570,1326,55,0,17,19140,160,19140,160,0,atd,0,normal
1554219575,1692,0,0,0,0,0,0,0,0,netatop,0,normal
1554219580,1734,0,0,0,0,0,0,0,0,auditd,0,normal
1554219585,2750,0,0,0,0,0,0,0,0,worer/3:2,0,normal
1554219590,3394,0,0,0,0,0,0,0,0,ext4-rsv-conve,0,normal
1554219595,3257,13131,0,193,2,501.6,0,17.5,0.14,Web-Content,0,normal
1554219600,3197,776,0,193,2.6,402.6,0,632,0.11,firefox,0,normal
1554219605,1442,48,0,2219,713.9,288.4,50.4,2292,0.08,Xorg,0,normal
1554219610,2797,171,0,1350,1.4,109.6,0,4,0.03,nautilus,0,normal
1554219615,2774,65,0,10,1.3,88680,24,0,0.02,compiz,0,normal
1554219620,1483,0,0,10415,537.4,54344,0,0,0.01,mysqld,0,normal
1554219625,2533,15,0,589,632.6,26364,132,0,0.01,hud-service,0,normal
1554219630,2547,0,0,66,706.1,21044,0,0,0.01,unity-panel-se,0,normal
1554219635,2523,0,0,31,931.9,20796,0,0,0.01,unity-settings,0,normal
1554219640,3155,1,0,280,707.8,19576,0,0,0.01,gnome-terminal,0,normal
1554219645,2809,0,0,36,381,16920,0,0,0,vmtoolsd,0,normal
1554219650,2795,0,0,297,456.9,15864,0,0,0,nm-applet,0,normal
1554219655,2460,0,0,281,607.4,15512,0,0,0,bamfdaemon,0,normal
1554219660,2584,0,0,154,537.9,15100,0,0,0,ibus-ui-gt3,0,normal
1554219665,2770,0,0,193,332.4,12180,0,0,0,notify-osd,0,normal
1554219670,2794,0,0,33,465.9,11844,0,0,0,unity-fallbac,0,normal
1554219675,2966,0,0,27,444.4,11808,0,0,0,telepathy-indi,0,normal
1554219680,2697,0,0,47,508.4,11752,0,0,0,indicator-prin,0,normal
1554219685,2537,0,0,223,642.3,11556,0,0,0,gnome-session,0,normal
1554219690,2982,0,0,119,472.7,11380,0,0,0,zeitgeist-data,0,normal
1554219695,2707,0,0,121,521.1,11344,0,0,0,indicator-eyb,0,normal
1554219700,2793,0,0,38,324.1,9688,0,0,0,polit-gnome-a,0,normal
1554219705,2993,0,0,127,246.5,9676,0,0,0,zeitgeist-fts,0,normal
1554219710,2842,0,0,350,315.2,7220,0,0,0,mission-contro,0,normal
1554219715,2874,0,0,72,207.5,5416,0,0,0,gvfs-gphoto2-v,0,normal
1554219720,2987,5,0,189,344,4984,0,0,0,zeitgeist-daem,0,normal
1554219725,2437,0,0,239,78328,4632,0,0,0,window-stac-b,0,normal
1554219730,2501,1,0,148,353.5,4548,0,0,0,ibus-daemon,0,normal
